                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.74691,                0.47592,                  1.041,                 0.9359,                 0.8691,                0.90686,                0.60137,                  1.159,                0.55085,                 1.5308,             0.00030606,             0.00030606,             0.00030606
                    136,                0.74416,                0.47801,                 1.0393,                0.93799,                0.88232,                0.91241,                0.60142,                 1.1577,                0.53466,                 1.5447,             0.00030156,             0.00030156,             0.00030156
                    137,                0.73788,                0.47797,                  1.039,                0.94033,                0.89054,                0.91035,                0.59737,                 1.1566,                0.53106,                 1.5201,             0.00029706,             0.00029706,             0.00029706
                    138,                0.73599,                0.46918,                  1.039,                0.94126,                0.88169,                0.90561,                0.59964,                 1.1526,                0.54021,                 1.5506,             0.00029256,             0.00029256,             0.00029256
                    139,                0.75116,                0.47151,                 1.0348,                0.93711,                0.88772,                0.91713,                0.59974,                 1.1778,                0.55027,                 1.5848,             0.00028806,             0.00028806,             0.00028806
                    140,                0.73455,                 0.4659,                  1.034,                0.92824,                0.89281,                0.91228,                 0.6025,                 1.1567,                0.52824,                 1.5454,             0.00028356,             0.00028356,             0.00028356
                    141,                0.73916,                0.46993,                 1.0293,                0.90949,                0.89513,                 0.9038,                0.59655,                 1.1769,                0.55534,                 1.5728,             0.00027906,             0.00027906,             0.00027906
                    142,                0.74013,                0.46486,                 1.0295,                0.94053,                0.89356,                0.91642,                0.60316,                 1.1684,                0.55083,                 1.5852,             0.00027456,             0.00027456,             0.00027456
                    143,                0.73445,                0.46648,                 1.0313,                0.95456,                0.87636,                0.91434,                0.60225,                 1.1959,                0.53247,                 1.6094,             0.00027006,             0.00027006,             0.00027006
                    144,                0.73953,                0.47126,                 1.0316,                0.91891,                0.89849,                0.91273,                0.58966,                 1.1864,                 0.5367,                 1.6229,             0.00026556,             0.00026556,             0.00026556
                    145,                0.73971,                0.46615,                 1.0311,                0.95012,                0.88256,                0.91733,                0.59565,                 1.1924,                0.54013,                 1.6304,             0.00026106,             0.00026106,             0.00026106
                    146,                0.73668,                0.46562,                 1.0397,                0.93468,                0.89473,                0.91668,                0.59677,                 1.1663,                0.53226,                 1.5944,             0.00025657,             0.00025657,             0.00025657
                    147,                0.73323,                0.46232,                 1.0287,                0.91238,                0.91067,                0.91003,                0.59765,                 1.1578,                 0.5525,                 1.5823,             0.00025207,             0.00025207,             0.00025207
                    148,                0.73369,                0.46697,                 1.0358,                0.93665,                0.88888,                0.91414,                0.60035,                  1.171,                0.53115,                 1.6017,             0.00024757,             0.00024757,             0.00024757
                    149,                0.73262,                0.46367,                 1.0391,                0.95928,                0.88226,                0.91947,                0.59975,                   1.18,                 0.5416,                 1.5947,             0.00024307,             0.00024307,             0.00024307
